ID;Internal Reference;Barcode;Name;Cost;Sales Price;Product Category;Unit of Measure;Costing Method;Product Type
13180-0017;13180-0017;;Cornetto Mini Choc&Tirami 28Ml;28728;37800;Persediaan Minuman;Units;average;Storable Product
13180-0018;13180-0018;;Cornetto Mini Mango&Berry 28;28728;37800;Persediaan Minuman;Units;average;Storable Product
13180-0019;13180-0019;;Marjan Fruit Punch 600 Ml;17793;19573;Persediaan Minuman;Units;average;Storable Product
13180-0020;13180-0020;;Marjan Jambu Squash;17881;19669;Persediaan Minuman;Units;average;Storable Product
13180-0021;13180-0021;;Marjan Leci;17793;19573;Persediaan Minuman;Units;average;Storable Product
13180-0022;13180-0022;;Marjan Lemon;9440;12744;Persediaan Minuman;Units;average;Storable Product
13180-0023;13180-0023;;Marjan Milk Rose 600Ml;17535;16243;Persediaan Minuman;Units;average;Storable Product
13180-0024;13180-0024;;Marjan Moca 600 Ml;17793;24021;Persediaan Minuman;Units;average;Storable Product
13180-0025;13180-0025;;Milo 3 In 1 Pilybag 35Gr;82313;60000;Persediaan Minuman;Units;average;Storable Product
13180-0026;13180-0026;;Milo 3In 1 Sac 35 Gr;1249;14500;Persediaan Minuman;Units;average;Storable Product
13180-0027;13180-0027;;Milo Act-E 150G;12037;13240;Persediaan Minuman;Units;average;Storable Product
13180-0028;13180-0028;;Milo Act-E Sas 14G;5496;6000;Persediaan Minuman;Units;average;Storable Product
13180-0029;13180-0029;;Milo Choco Bar 12 G;2966;3559;Persediaan Minuman;Units;average;Storable Product
13180-0030;13180-0030;;Milo Sereal 32Gr;5392;6500;Persediaan Minuman;Units;average;Storable Product
13180-0031;13180-0031;;Mizone Isotonic Cocopina 500Ml;3400;4750;Persediaan Minuman;Units;average;Storable Product
13180-0032;13180-0032;;Nescafe Clasic Pack;4648;5113;Persediaan Minuman;Units;average;Storable Product
13180-0033;13180-0033;;New Item;4378;5378;Persediaan Minuman;Units;average;Storable Product
13180-0034;13180-0034;;New Vitalac 1 Van 800Gr;100620;105651;Persediaan Minuman;Units;average;Storable Product
13180-0035;13180-0035;;New Vitalac 3+ Madu 800Ml;70761;95527;Persediaan Minuman;Units;average;Storable Product
13180-0036;13180-0036;;Nutrilon 4 Soya Vanila 400 G;82216;85999;Persediaan Minuman;Units;average;Storable Product
13180-0037;13180-0037;;Nutrilon Royal 3 Madu 400;101474;136990;Persediaan Minuman;Units;average;Storable Product
13180-0038;13180-0038;;Nutrilon Royal 3 Van 400Gr;93121;98302;Persediaan Minuman;Units;average;Storable Product
13180-0039;13180-0039;;Nutrisari American Orange 14Gr;10946;12985;Persediaan Minuman;Units;average;Storable Product
13180-0040;13180-0040;;Nutrisari Swet Guava 11Gr;849;12396;Persediaan Minuman;Units;average;Storable Product
13180-0041;13180-0041;;Nutrisari Swet Mango 11Gr;5410;7500;Persediaan Minuman;Units;average;Storable Product
13180-0042;13180-0042;;Nutrive Benecol Orange 100Ml;5208;6250;Persediaan Minuman;Units;average;Storable Product
13180-0043;13180-0043;;Pocari Sweet Pet 500 Ml;5335;7202;Persediaan Minuman;Units;average;Storable Product
13180-0044;13180-0044;;Pondan Ice Cream Neopolitan;23744;28493;Persediaan Minuman;Units;average;Storable Product
